# Polish name -> USDA FoodData Central fdcId mapping.
#
# Hand-curated, script-assisted. This file decides BOTH which USDA entries end up in the
# bundled nutrition subset AND what they are called in the Polish UI. `scripts/build-nutrition.mjs`
# joins it against the FDC Foundation + SR Legacy downloads and writes src/lib/nutrition/ingredients.json.
#
# Tab-separated, four columns; `#` starts a comment, blank lines are ignored.
#
#   fdcId  name (Polish)  aliases (| separated, may be empty)  state (raw|cooked, default raw)
#
# `state` follows the USDA entry, not the shopping basket: "cooked" means the per-100 g values
# describe the food after cooking. 300 g of raw rice is not 300 g of cooked rice, so both exist
# as separate rows wherever the difference matters.
#
# Keep rows sorted inside their section and never reuse an fdcId: it is the ingredient's identity
# (`usda:<fdcId>`) and planned meals reference it forever.

## Nabial i jaja / Dairy and eggs

171724	Porzeczki suszone koryntki	koryntki|porzeczki suszone	raw
171726	Daktyle deglet noor	daktyle	raw
168191	Daktyle medjool	daktyle medjool	raw
171727	Czarny bez owoce	czarny bez|bez owoce	raw
173021	Figi	figi|figa	raw
174665	Figi suszone	figi suszone	raw
173026	Koktajl owocowy z puszki	koktajl owocowy	cooked
173032	Jagody goji	goji|jagody goji	raw
173030	Agrest	agrest	raw
174683	Winogrona	winogrona|winogrono	raw
174682	Winogrona ciemne	winogrona ciemne	raw
173042	Sok winogronowy	sok winogronowy	raw
173033	Grejpfrut	grejpfrut	raw
174673	Grejpfrut czerwony	grejpfrut czerwony	raw
173039	Sok grejpfrutowy	sok grejpfrutowy	raw
173044	Guawa	guawa	raw
174687	Jackfruit	jackfruit|dzakfrut	raw
168153	Kiwi	kiwi	raw
168211	Kiwi złote	kiwi zlote|kiwi sungold	raw
168154	Kumkwat	kumkwat	raw
167746	Cytryna	cytryna|cytryny	raw
167747	Sok z cytryny	sok cytrynowy|sok z cytryny	raw
167749	Skórka cytrynowa	skorka cytrynowa	raw
168155	Limonka	limonka|limonki	raw
168156	Sok z limonki	sok z limonki	raw
169086	Liczi	liczi	raw
169089	Longan	longan	raw
169908	Nieszpułka japońska	nieszpulka	raw
169910	Mango	mango	raw
169091	Mango suszone	mango suszone	raw
169092	Melon kantalupa	melon kantalupa|kantalupa	raw
169911	Melon miodowy	melon miodowy|melon	raw
169093	Melon casaba	melon casaba	raw
169913	Morwa	morwa|morwy	raw
169914	Nektarynka	nektarynka|nektarynki	raw
169096	Oliwki zielone	oliwki zielone|oliwki	raw
169094	Oliwki czarne	oliwki czarne	raw
332791	Oliwki nadziewane papryką	oliwki nadziewane	raw
169097	Pomarańcza	pomarancza|pomarancze	raw
169917	Pomarańcza pępkowa	pomarancza pepkowa|navel	raw
169098	Sok pomarańczowy	sok pomaranczowy	raw
169103	Skórka pomarańczowa	skorka pomaranczowa	raw
169926	Papaja	papaja	raw
169108	Marakuja	marakuja|passiflora	raw
169928	Brzoskwinia	brzoskwinia|brzoskwinie	raw
169930	Brzoskwinie z puszki	brzoskwinie z puszki	cooked
169934	Brzoskwinie suszone	brzoskwinie suszone	raw
169118	Gruszka	gruszka|gruszki	raw
168177	Gruszka azjatycka	gruszka azjatycka|nashi	raw
169936	Gruszki z puszki	gruszki z puszki	cooked
169121	Gruszki suszone	gruszki suszone	raw
169941	Kaki	kaki|persymona	raw
169124	Ananas	ananas	raw
169126	Ananas z puszki	ananas z puszki	cooked
169947	Sok ananasowy	sok ananasowy	raw
168215	Platan zielony	platan zielony|banan platan	raw
169130	Platan dojrzały	platan dojrzaly	raw
168216	Platan gotowany	platan gotowany	cooked
169949	Śliwki	sliwki|sliwka	raw
169951	Śliwki z puszki	sliwki z puszki	cooked
168162	Śliwki suszone	sliwki suszone|suszone sliwki	raw
167753	Sok ze śliwek	sok sliwkowy	raw
169134	Granat	granat|owoc granatu	raw
167787	Sok z granatu	sok z granatu	raw
167750	Opuncja	opuncja	raw
168163	Pigwa	pigwa	raw
168165	Rodzynki	rodzynki	raw
168164	Rodzynki złote	rodzynki zlote	raw
167755	Maliny	maliny|malina	raw
168209	Maliny mrożone	maliny mrozone	raw
167758	Rabarbar	rabarbar	raw
168169	Rabarbar gotowany z cukrem	rabarbar gotowany	cooked
167762	Truskawki	truskawki|truskawka	raw
168173	Truskawki mrożone	truskawki mrozone	raw
167763	Tamarynd	tamarynd|tamaryndowiec	raw
169105	Mandarynki	mandarynka|mandarynki	raw
169106	Mandarynki z puszki	mandarynki z puszki	cooked
167765	Arbuz	arbuz	raw
167791	Kiwano	kiwano	raw
168176	Fejchoa	fejchoa|feijoa	raw
167759	Sapodilla	sapodilla	raw
167761	Flaszowiec	flaszowiec|graviola	raw
173953	Czerymoja	czerymoja	raw
168192	Durian	durian	raw
167781	Owoce kandyzowane	owoce kandyzowane	raw
167766	Wiśnie koktajlowe	wisnie koktajlowe|maraschino	raw

## Zboża, makarony i mąki / Grains, pasta and flours

170682	Amarantus	amarantus|szarlat	raw
170683	Amarantus gotowany	amarantus gotowany	cooked
2512371	Mąka amarantusowa	maka amarantusowa	raw
170283	Jęczmień	jeczmien	raw
170284	Kasza jęczmienna perłowa	kasza jeczmienna|perlowka	raw
170285	Kasza jęczmienna gotowana	kasza jeczmienna gotowana	cooked
169739	Mąka jęczmienna	maka jeczmienna	raw
170286	Gryka	gryka	raw
170685	Kasza gryczana	kasza gryczana	raw
170686	Kasza gryczana gotowana	kasza gryczana gotowana	cooked
170687	Mąka gryczana	maka gryczana	raw
170688	Bulgur	bulgur|kasza bulgur	raw
170287	Bulgur gotowany	bulgur gotowany	cooked
2710819	Nasiona chia	chia|nasiona chia	raw
170290	Mąka kukurydziana	maka kukurydziana	raw
169697	Mąka kukurydziana pełnoziarnista	maka kukurydziana pelnoziarnista	raw
169698	Skrobia kukurydziana	skrobia kukurydziana|maizena	raw
168867	Kasza kukurydziana	kasza kukurydziana|polenta	raw
169699	Kuskus	kuskus|kuskus suchy	raw
169700	Kuskus gotowany	kuskus gotowany	cooked
2710828	Farro	farro|orkisz farro	raw
2003586	Mąka typu 00	maka 00|maka wloska	raw
2003589	Mąka semolinowa	semolina|maka semolinowa	raw
2261421	Mąka owsiana	maka owsiana	raw
2512372	Mąka z komosy ryżowej	maka z komosy	raw
2512375	Mąka żytnia	maka zytnia	raw
2003587	Mąka orkiszowa pełnoziarnista	maka orkiszowa	raw
168894	Mąka pszenna biała	maka pszenna|maka	raw
168896	Mąka pszenna chlebowa	maka chlebowa	raw
169723	Mąka pszenna tortowa	maka tortowa	raw
168893	Mąka pszenna pełnoziarnista	maka pelnoziarnista|maka razowa	raw
168895	Mąka pszenna z proszkiem do pieczenia	maka samorosnaca	raw
168898	Mąka ryżowa brązowa	maka ryzowa brazowa	raw
169714	Mąka ryżowa biała	maka ryzowa	raw
2515382	Mąka kokosowa	maka kokosowa	raw
2261420	Mąka migdałowa	maka migdalowa	raw
2515377	Mąka kasztanowa	maka kasztanowa	raw
168147	Gluten pszenny	gluten pszenny|seitan suchy	raw
169702	Proso	proso	raw
168871	Kasza jaglana gotowana	kasza jaglana gotowana	cooked
2512379	Kasza jaglana	kasza jaglana|jaglanka	raw
168905	Makaron chow mein	makaron chow mein	cooked
169731	Makaron jajeczny	makaron jajeczny|kluski jajeczne	raw
169732	Makaron jajeczny gotowany	makaron jajeczny gotowany	cooked
168906	Makaron soba	soba|makaron gryczany	raw
168907	Makaron soba gotowany	soba gotowany	cooked
168908	Makaron somen	somen	raw
168872	Otręby owsiane	otreby owsiane	raw
168873	Otręby owsiane gotowane	otreby owsiane gotowane	cooked
169705	Płatki owsiane	platki owsiane|owsianka sucha	raw
2346396	Płatki owsiane górskie	platki owsiane gorskie	raw
2346397	Owies łamany	owies lamany|steel cut	raw
169736	Makaron pszenny	makaron|makaron suchy|spaghetti	raw
169737	Makaron pszenny gotowany	makaron gotowany|spaghetti gotowane	cooked
169738	Makaron pełnoziarnisty	makaron pelnoziarnisty|makaron razowy	raw
168910	Makaron pełnoziarnisty gotowany	makaron pelnoziarnisty gotowany	cooked
169727	Makaron świeży	makaron swiezy	raw
169728	Makaron świeży gotowany	makaron swiezy gotowany	cooked
168899	Makaron kukurydziany bezglutenowy	makaron bezglutenowy	raw
168900	Makaron kukurydziany gotowany	makaron bezglutenowy gotowany	cooked
168901	Makaron domowy z jajkiem	makaron domowy	cooked
